panel,method,mae,mse
beijing/natural_outage_h24,half_var_peer_knn_multivariate,0.39986111683816544,0.26680454187506225
beijing/natural_outage_h24,half_var_peer_linear_interp,0.47500642370752577,0.36086601432601162
beijing/natural_outage_h24,half_var_peer_locf,0.47501906421516349,0.36026900652150945
beijing/natural_outage_h24,half_var_peer_mean8,0.43084508890459827,0.2851446256937884
beijing/natural_outage_h24,half_var_peer_median8,0.42032673572827634,0.27756410598049353
beijing/natural_outage_h24,half_var_peer_motm_reference,0.47899205093244729,0.3407425754862598
beijing/natural_outage_h24,half_var_peer_residual_linear,0.40411821625878819,0.27142472047840366
beijing/natural_outage_h24,half_var_peer_ridge,0.39952339951776655,0.26840507011630238
beijing/natural_outage_h24,half_var_peer_saits,0.40919838980872658,0.27316586690497296
beijing/natural_outage_h24,half_var_peer_seasonal_lag,0.44528360400665368,0.30840210284488939
beijing/natural_outage_h24,half_var_peer_timemixerpp,0.4497286559277745,0.32406136109642419
beijing/natural_outage_h24,half_var_proxy_pool_only_mean,0.44081588565084151,0.31093826541702502
beijing/natural_outage_h24,half_var_proxy_pool_only_median,0.42979574212828919,0.30508669130348171
beijing/natural_outage_h24,half_var_query_aux_both_gaussian_short,0.40683648617689477,0.27155925938254127
beijing/natural_outage_h24,half_var_query_aux_both_native_long,0.42384292373673671,0.28017903072674871
beijing/natural_outage_h24,half_var_query_aux_both_native_short,0.43595071320573081,0.30372553613577441
beijing/natural_outage_h24,half_var_query_aux_group_native_long,0.41523626899563104,0.26756254327880447
beijing/natural_outage_h24,half_var_query_aux_time_native_long,0.41872922094541054,0.27089490120637982
beijing/natural_outage_h24,half_var_query_readonly_native_long,0.42955051173331388,0.28601437233863886
beijing/natural_outage_h24,half_var_raw_plus_duplicate_pool,0.42649281849220583,0.28959878227837227
beijing/natural_outage_h24,half_var_raw_plus_duplicate_single,0.42083959255048303,0.28352580408465367
beijing/natural_outage_h24,half_var_raw_plus_gaussian,0.4192531091746714,0.28176695001316426
beijing/natural_outage_h24,half_var_raw_plus_knn,0.4193312356456515,0.28185825820423721
beijing/natural_outage_h24,half_var_raw_plus_pool,0.43835759451057044,0.29922831799003108
beijing/natural_outage_h24,half_var_raw_plus_pool_median,0.4190640502197151,0.28166000321779794
beijing/natural_outage_h24,half_var_raw_plus_pool_proxy_mean,0.41428107949741055,0.27183014816604495
beijing/natural_outage_h24,half_var_raw_plus_pool_proxy_median,0.40502710808165315,0.26696286516791373
beijing/natural_outage_h24,half_var_target_anchor_pool,0.46346417408470869,0.34678904891823964
beijing/natural_outage_h24,half_var_target_anchor_proxy_mean,0.4409868078969163,0.31125152407945778
beijing/natural_outage_h24,half_var_target_anchor_proxy_median,0.43030165649040542,0.30574920024506852
beijing/natural_outage_h24,half_var_target_knn_multivariate,0.39700041939167979,0.26440217228917956
beijing/natural_outage_h24,half_var_target_linear_interp,0.4741218728321967,0.35878849141293262
beijing/natural_outage_h24,half_var_target_locf,0.47534571406348208,0.36173207848009109
beijing/natural_outage_h24,half_var_target_mean8,0.42753543288834872,0.28179907279135435
beijing/natural_outage_h24,half_var_target_median8,0.41734347724707899,0.27552552283248005
beijing/natural_outage_h24,half_var_target_motm_reference,0.47604867857681371,0.3361119770251027
beijing/natural_outage_h24,half_var_target_saits,0.40720699047724374,0.27130339768217082
beijing/natural_outage_h24,half_var_target_seasonal_lag,0.43856912448674606,0.30022526687472123
beijing/natural_outage_h24,half_var_target_static_point,0.40005162789320842,0.27033200423684872
beijing/natural_outage_h24,half_var_target_timemixerpp,0.44025757151790595,0.3143651280509116
beijing/natural_outage_h24,hybrid_mc_embedding,0.40092617838701727,0.27043469489009903
beijing/natural_outage_h24,hybrid_mc_point_mean16,0.40261382665283224,0.26842076311541435
beijing/natural_outage_h24,hybrid_mc_point_median16,0.40405347377606043,0.26885239501436908
beijing/natural_outage_h24,hybrid_mc_quantile_mean16,0.41624158211413492,0.27817719749679903
beijing/natural_outage_h24,hybrid_mc_quantile_median16,0.40456294300330065,0.26950768644531908
beijing/natural_outage_h24,hybrid_posterior_mean,0.39940626819214925,0.265798145071592
beijing/natural_outage_h24,hybrid_posterior_moment,0.40159094969837678,0.2708547867451781
beijing/natural_outage_h24,hybrid_posterior_norm,0.39972827192023469,0.26884344796412468
beijing/natural_outage_h24,hybrid_posterior_variance,0.40140023085659476,0.27427739722457556
beijing/natural_outage_h24,hybrid_static_quantile_mean,0.41564186730512326,0.27870005114318913
beijing/natural_outage_h24,hybrid_static_quantile_median,0.40021731281192779,0.2706015462343962
beijing/natural_outage_h24,hybrid_unconditional_moment,0.40330037961236603,0.27331494503244524
beijing/natural_outage_h24,imputation_covariance_all,0.42537534298499496,0.30778931851228924
beijing/natural_outage_h24,imputation_covariance_targets,0.42571747389410719,0.30815923201486101
beijing/natural_outage_h24,independent_plus_native_mean,0.51850315631768018,0.43097010062348312
beijing/natural_outage_h24,independent_plus_native_median,0.4949318052901881,0.41055760389553231
beijing/natural_outage_h24,independent_proxy_mean,0.5136738515997521,0.42282143914178172
beijing/natural_outage_h24,independent_proxy_median,0.49319757253407043,0.40865035648030573
beijing/natural_outage_h24,isolated_gaussian,0.49768002780377824,0.42567759886292839
beijing/natural_outage_h24,isolated_knn_multivariate,0.48771152535268408,0.43039004383483581
beijing/natural_outage_h24,isolated_linear_interp,0.68028603168638924,0.7201920088354683
beijing/natural_outage_h24,isolated_local_ridge,0.57794585047535396,0.52306932033099696
beijing/natural_outage_h24,isolated_locf,0.68347128109574384,0.72618803106233687
beijing/natural_outage_h24,isolated_motm_reference,0.69897209748870248,0.81468076086439722
beijing/natural_outage_h24,isolated_peer_ar_bridge,0.48164074492007652,0.40611368893798239
beijing/natural_outage_h24,isolated_peer_residual_linear,0.54086068868975423,0.48221513267401828
beijing/natural_outage_h24,isolated_peer_ridge,0.50171149277935001,0.42796163196464782
beijing/natural_outage_h24,isolated_saits,0.49920609355431173,0.42175199308553851
beijing/natural_outage_h24,isolated_seasonal_lag,0.59606392357698856,0.62787866988600372
beijing/natural_outage_h24,isolated_timemixerpp,0.58385057879431013,0.58832800274576824
beijing/natural_outage_h24,joint_reference_mean,0.5131928801732365,0.42025753242158598
beijing/natural_outage_h24,joint_reference_median,0.49186669670947608,0.40450891030939284
beijing/natural_outage_h24,linear_var_direct,0.4336078559848906,0.30369969115531037
beijing/natural_outage_h24,local_ridge,0.50106080018587285,0.39818360546341625
beijing/natural_outage_h24,location_norm_peer_ridge,0.43014333562965423,0.31231056457773587
beijing/natural_outage_h24,long_repair_gaussian_peer,0.3917869648440937,0.25242482492855806
beijing/natural_outage_h24,long_repair_gaussian_targets,0.40310690788462905,0.27885023675669718
beijing/natural_outage_h24,long_repair_knn_multivariate_peer,0.40889778915382502,0.26879280999634708
beijing/natural_outage_h24,long_repair_knn_multivariate_targets,0.41182568571192624,0.28700619741413241
beijing/natural_outage_h24,long_repair_local_ridge_peer,0.46726908763403568,0.33614132198060626
beijing/natural_outage_h24,long_repair_local_ridge_targets,0.51559741760988453,0.43705330637864498
beijing/natural_outage_h24,long_repair_peer_ridge_peer,0.3941156914788419,0.25403138359999311
beijing/natural_outage_h24,long_repair_peer_ridge_targets,0.40558808724032419,0.2805386522784607
beijing/natural_outage_h24,mc_embedding_component,0.43334948243332461,0.31807178750780646
beijing/natural_outage_h24,mc_point_mean16_component,0.44741325436706264,0.3257682006235571
beijing/natural_outage_h24,mc_point_median16_component,0.45113808053224957,0.32887333502987792
beijing/natural_outage_h24,mc_quantile_mean16_component,0.4444880890796658,0.3293600692761619
beijing/natural_outage_h24,mc_quantile_median16_component,0.45404849745246345,0.33141140894493781
beijing/natural_outage_h24,native_local,0.56244667130019743,0.49006989189298217
beijing/natural_outage_h24,native_long_prefix_peer,0.4848391218097951,0.35932231632345674
beijing/natural_outage_h24,native_long_prefix_targets,0.53511237831218017,0.44056544502083644
beijing/natural_outage_h24,native_long_raw_peer,0.48483916574146524,0.35932238903731523
beijing/natural_outage_h24,native_long_raw_targets,0.53511238117442084,0.44056545010361514
beijing/natural_outage_h24,native_observation_attention,0.52630543520937989,0.4351673533686144
beijing/natural_outage_h24,native_peer,0.53019302211525599,0.43590418183154411
beijing/natural_outage_h24,native_targets_only,0.62273371274828537,0.64463608748232482
beijing/natural_outage_h24,natural_lora,0.52259009056877548,0.45374617896433106
beijing/natural_outage_h24,observed_norm_local_ridge,0.49778044228649715,0.39312894273233417
beijing/natural_outage_h24,observed_norm_peer_ar_bridge,0.4380331863450227,0.31833940605629724
beijing/natural_outage_h24,observed_norm_peer_knn_multivariate,0.43755898876625654,0.31926783578591045
