panel,method,station,mae,mse
beijing/legacy_native_h96,full_dynamic_mixture_median16,Shunyi,0.90512328719492396,1.804617926250591
beijing/legacy_native_h96,full_dynamic_mixture_median16,Tiantan,0.84600450116735371,1.9181768963513466
beijing/legacy_native_h96,full_dynamic_mixture_median16,Wanliu,0.96465838110735258,2.4353956034889097
beijing/legacy_native_h96,full_dynamic_mixture_median16,Wanshouxigong,0.80561865905669039,1.9598807404067509
beijing/legacy_native_h96,full_filtered_point,Aotizhongxin,1.0772431180822624,2.3045288823685763
beijing/legacy_native_h96,full_filtered_point,Changping,0.69404744474056668,1.1670944414365159
beijing/legacy_native_h96,full_filtered_point,Dingling,0.90526104156107523,1.6186544754837591
beijing/legacy_native_h96,full_filtered_point,Dongsi,0.89568420201548749,1.6001100431909661
beijing/legacy_native_h96,full_filtered_point,Guanyuan,0.90250855963944043,1.8556437967172905
beijing/legacy_native_h96,full_filtered_point,Gucheng,0.949028459747283,1.8169246293596495
beijing/legacy_native_h96,full_filtered_point,Huairou,0.81196128890271513,1.4764430995951117
beijing/legacy_native_h96,full_filtered_point,Nongzhanguan,0.85599846675248992,1.5376229948534086
beijing/legacy_native_h96,full_filtered_point,Shunyi,0.90167775338640976,1.7912209575508213
beijing/legacy_native_h96,full_filtered_point,Tiantan,0.8487115149248925,1.9332168029700314
beijing/legacy_native_h96,full_filtered_point,Wanliu,0.96426482573247141,2.433030459824284
beijing/legacy_native_h96,full_filtered_point,Wanshouxigong,0.80780580191093887,1.9627494757150481
beijing/legacy_native_h96,full_sample_point_mean16,Aotizhongxin,1.0756049555495424,2.3064177427233044
beijing/legacy_native_h96,full_sample_point_mean16,Changping,0.69715706422793944,1.1691964159586281
beijing/legacy_native_h96,full_sample_point_mean16,Dingling,0.90777167550009086,1.6243433632957918
beijing/legacy_native_h96,full_sample_point_mean16,Dongsi,0.89234844086020726,1.6059573499563298
beijing/legacy_native_h96,full_sample_point_mean16,Guanyuan,0.90004578659720491,1.8530245820061073
beijing/legacy_native_h96,full_sample_point_mean16,Gucheng,0.94964392141395415,1.8231285229461831
beijing/legacy_native_h96,full_sample_point_mean16,Huairou,0.81369489013662821,1.4788325961639577
beijing/legacy_native_h96,full_sample_point_mean16,Nongzhanguan,0.85270325687695403,1.536021659227448
beijing/legacy_native_h96,full_sample_point_mean16,Shunyi,0.90518625601980895,1.8042122315960811
beijing/legacy_native_h96,full_sample_point_mean16,Tiantan,0.84615264340374108,1.9190257940284914
beijing/legacy_native_h96,full_sample_point_mean16,Wanliu,0.9642886459510267,2.4344634200283983
beijing/legacy_native_h96,full_sample_point_mean16,Wanshouxigong,0.80561811545015238,1.9604642013383384
beijing/legacy_native_h96,full_sample_point_median16,Aotizhongxin,1.0760777080182193,2.3079768167026846
beijing/legacy_native_h96,full_sample_point_median16,Changping,0.69666747512751048,1.1669691769070654
beijing/legacy_native_h96,full_sample_point_median16,Dingling,0.90820537891530351,1.625111634458315
beijing/legacy_native_h96,full_sample_point_median16,Dongsi,0.89135877551453901,1.6040903957757824
beijing/legacy_native_h96,full_sample_point_median16,Guanyuan,0.90062126375133533,1.8530705106518848
